호선,역,시간,전체인원,1,2,3,4,5,6,7,8,fastEx,train
4,사당0,00,15422,3314,2777,642,1312,2999,3071,348,959,15,5
4,사당1,01,,,,,,,,,,15,
4,사당2,02,,,,,,,,,,15,
4,사당3,03,,,,,,,,,,15,
4,사당4,04,,,,,,,,,,15,
4,사당5,05,,,,,,,,,,15,
4,사당6,06,,,,,,,,,,15,
4,사당7,07,,,,,,,,,,15,
4,사당8,08,373746,122699,36339,5648,27925,171342,6976,1406,1411,15,30
4,사당9,09,,,,,,,,,,15,
4,사당10,10,,,,,,,,,,15,
4,사당11,11,,,,,,,,,,15,
4,사당12,12,,,,,,,,,,15,
4,사당13,13,,,,,,,,,,15,
4,사당14,14,163245,58660,21974,556,16070,60627,4827,374,157,15,20
4,사당15,15,,,,,,,,,,15,
4,사당16,16,,,,,,,,,,15,
4,사당17,17,,,,,,,,,,15,
4,사당18,18,134952,48165,11591,5118,16757,46621,5077,1110,513,15,15
4,사당19,19,,,,,,,,,,15,
4,사당20,20,,,,,,,,,,15,
4,사당21,21,,,,,,,,,,15,
4,사당22,22,,,,,,,,,,15,
4,사당23,23,70547,25817,5440,3076,8563,17435,3183,3693,3340,15,10
4,서울역0,00,1957,46,18,206,423,571,105,273,315,28,5
4,서울역1,01,,,,,,,,,,28,
4,서울역2,02,,,,,,,,,,28,
4,서울역3,03,,,,,,,,,,28,
4,서울역4,04,,,,,,,,,,28,
4,서울역5,05,,,,,,,,,,28,
4,서울역6,06,,,,,,,,,,28,
4,서울역7,07,,,,,,,,,,28,
4,서울역8,08,86990,3094,20705,21587,3080,2516,5044,10809,20155,28,30
4,서울역9,09,,,,,,,,,,28,
4,서울역10,10,,,,,,,,,,28,
4,서울역11,11,,,,,,,,,,28,
4,서울역12,12,,,,,,,,,,28,
4,서울역13,13,,,,,,,,,,28,
4,서울역14,14,35573,2289,5305,3873,6616,2128,5009,7081,3272,28,20
4,서울역15,15,,,,,,,,,,28,
4,서울역16,16,,,,,,,,,,28,
4,서울역17,17,,,,,,,,,,28,
4,서울역18,18,36241,5932,3661,5635,8161,2637,5172,2632,2411,28,15
4,서울역19,19,,,,,,,,,,28,
4,서울역20,20,,,,,,,,,,28,
4,서울역21,21,,,,,,,,,,28,
4,서울역22,22,,,,,,,,,,28,
4,서울역23,23,22815,3856,3873,2478,1322,2074,1093,3041,5078,28,10
4,동대문0,00,15767,1109,2041,5491,1123,924,3322,1054,703,36,5
4,동대문1,01,,,,,,,,,,36,
4,동대문2,02,,,,,,,,,,36,
4,동대문3,03,,,,,,,,,,36,
4,동대문4,04,,,,,,,,,,36,
4,동대문5,05,,,,,,,,,,36,
4,동대문6,06,,,,,,,,,,36,
4,동대문7,07,,,,,,,,,,36,
4,동대문8,08,161291,12588,29488,34733,11918,19821,31273,15481,5989,36,30
4,동대문9,09,,,,,,,,,,36,
4,동대문10,10,,,,,,,,,,36,
4,동대문11,11,,,,,,,,,,36,
4,동대문12,12,,,,,,,,,,36,
4,동대문13,13,,,,,,,,,,36,
4,동대문14,14,110267,10601,11852,26527,7715,11196,20252,12083,10041,36,20
4,동대문15,15,,,,,,,,,,36,
4,동대문16,16,,,,,,,,,,36,
4,동대문17,17,,,,,,,,,,36,
4,동대문18,18,395857,27558,68541,107193,22002,31916,86415,26396,25836,36,15
4,동대문19,19,,,,,,,,,,36,
4,동대문20,20,,,,,,,,,,36,
4,동대문21,21,,,,,,,,,,36,
4,동대문22,22,,,,,,,,,,36,
4,동대문23,23,114314,11580,13751,31637,11329,12431,20107,6769,6710,36,10
4,금정0,00,9996,3685,638,289,460,573,545,1044,2762,18,5
4,금정1,01,,,,,,,,,,18,
4,금정2,02,,,,,,,,,,18,
4,금정3,03,,,,,,,,,,18,
4,금정4,04,,,,,,,,,,18,
4,금정5,05,,,,,,,,,,18,
4,금정6,06,,,,,,,,,,18,
4,금정7,07,,,,,,,,,,18,
4,금정8,08,199996,54353,20081,11476,18447,10924,11451,39134,34130,18,30
4,금정9,09,,,,,,,,,,18,
4,금정10,10,,,,,,,,,,18,
4,금정11,11,,,,,,,,,,18,
4,금정12,12,,,,,,,,,,18,
4,금정13,13,,,,,,,,,,18,
4,금정14,14,75933,10426,10853,9110,6683,7368,9226,10753,11514,18,20
4,금정15,15,,,,,,,,,,18,
4,금정16,16,,,,,,,,,,18,
4,금정17,17,,,,,,,,,,18,
4,금정18,18,89996,17328,12709,7005,8501,9179,9515,10147,15612,18,15
4,금정19,19,,,,,,,,,,18,
4,금정20,20,,,,,,,,,,18,
4,금정21,21,,,,,,,,,,18,
4,금정22,22,,,,,,,,,,18,
4,금정23,23,1149,366,120,52,113,60,114,131,193,18,10
4,총신대입구0,00,5324,202,961,1028,834,458,354,505,982,38,5
4,총신대입구1,01,,,,,,,,,,38,
4,총신대입구2,02,,,,,,,,,,38,
4,총신대입구3,03,,,,,,,,,,38,
4,총신대입구4,04,,,,,,,,,,38,
4,총신대입구5,05,,,,,,,,,,38,
4,총신대입구6,06,,,,,,,,,,38,
4,총신대입구7,07,,,,,,,,,,38,
4,총신대입구8,08,8348,920,1036,1432,569,839,945,1241,1366,38,30
4,총신대입구9,09,,,,,,,,,,38,
4,총신대입구10,10,,,,,,,,,,38,
4,총신대입구11,11,,,,,,,,,,38,
4,총신대입구12,12,,,,,,,,,,38,
4,총신대입구13,13,,,,,,,,,,38,
4,총신대입구14,14,18742,2266,2081,3332,2294,2014,2010,2352,2393,38,20
4,총신대입구15,15,,,,,,,,,,38,
4,총신대입구16,16,,,,,,,,,,38,
4,총신대입구17,17,,,,,,,,,,38,
4,총신대입구18,18,14808,847,2873,3552,1087,1021,1220,1280,2928,38,15
4,총신대입구19,19,,,,,,,,,,38,
4,총신대입구20,20,,,,,,,,,,38,
4,총신대입구21,21,,,,,,,,,,38,
