호선,역,시간,전체인원,1,2,3,4,5,6,7,8,fastEx,train
7,노원8,08,20093,3177,4026,2561,2378,2243,2011,1475,2222,24,30
7,노원9,09,3177,,,,,,,,,24,
7,노원10,10,,,,,,,,,,24,
7,노원11,11,,,,,,,,,,24,
7,노원12,12,,,,,,,,,,24,
7,노원13,13,,,,,,,,,,24,
7,노원14,14,41451,5627,6488,4830,5676,4669,5312,4681,4168,24,20
7,노원15,15,5627,,,,,,,,,24,
7,노원16,16,,,,,,,,,,24,
7,노원17,17,,,,,,,,,,24,
7,노원18,18,20001,2134,3030,2110,2941,2475,2805,2461,2045,24,15
7,노원19,19,0,,,,,,,,,24,
7,노원20,20,,,,,,,,,,24,
7,노원21,21,,,,,,,,,,24,
7,노원22,22,,,,,,,,,,24,
7,노원23,23,10037,1033,1516,1300,1502,1414,1102,1029,1141,24,10
,,,0,,,,,,,,,,
